RaceResult,Race_Num
12,2.0
6,3.0
18,4.0
8,5.0
20,6.0
11,7.0
20,8.0
9,9.0
6,10.0
11,11.0
18,12.0
9,13.0
11,14.0
10,15.0
7,16.0
8,17.0
11,18.0
20,19.0
7,20.0
8,21.0
8,22.0
3,23.0
5,24.0
13,25.0
5,26.0
9,27.0
10,28.0
7,29.0
4,30.0
6,31.0
15,32.0
16,33.0
13,34.0
8,35.0
8,36.0
4,37.0
10,38.0
5,
