,Driver,Driver Points,Driver Standings,Driver Wins,Round,Season
163,chitwood,1.0,21,0,6,1950
164,gerard,0.0,22,0,6,1950
165,villoresi,0.0,23,0,6,1950
166,graffenried,0.0,24,0,6,1950
167,pozzi,0.0,25,0,6,1950
168,wallard,0.0,26,0,6,1950
169,claes,0.0,27,0,6,1950
170,levegh,0.0,28,0,6,1950
171,harrison,0.0,29,0,6,1950
172,faulkner,0.0,30,0,6,1950
173,farina,30.0,1,3,7,1950
174,fangio,27.0,2,3,7,1950
175,fagioli,24.0,3,0,7,1950
176,rosier,13.0,4,0,7,1950
177,ascari,11.0,5,0,7,1950
178,parsons,9.0,6,1,7,1950
179,holland,6.0,7,0,7,1950
180,bira,5.0,8,0,7,1950
181,whitehead,4.0,9,0,7,1950
182,chiron,4.0,10,0,7,1950
183,reg_parnell,4.0,11,0,7,1950
184,rose,4.0,12,0,7,1950
185,serafini,3.0,13,0,7,1950
186,cabantous,3.0,14,0,7,1950
187,sommer,3.0,15,0,7,1950
188,manzon,3.0,16,0,7,1950
189,green,3.0,17,0,7,1950
190,etancelin,3.0,18,0,7,1950
191,bonetto,2.0,19,0,7,1950
192,chaboud,1.0,20,0,7,1950
193,bettenhausen,1.0,21,0,7,1950
194,chitwood,1.0,22,0,7,1950
195,graffenried,0.0,23,0,7,1950
196,gerard,0.0,24,0,7,1950
197,villoresi,0.0,25,0,7,1950
198,pozzi,0.0,26,0,7,1950
199,wallard,0.0,27,0,7,1950
200,claes,0.0,28,0,7,1950
201,levegh,0.0,29,0,7,1950
202,harrison,0.0,30,0,7,1950
203,fangio,9.0,1,1,1,1951
204,taruffi,6.0,2,0,1,1951
205,farina,4.0,3,0,1,1951
206,sanesi,3.0,4,0,1,1951
207,graffenried,2.0,5,0,1,1951
208,ascari,0.0,6,0,1,1951
209,chiron,0.0,7,0,1,1951
210,moss,0.0,8,0,1,1951
211,rosier,0.0,9,0,1,1951
212,etancelin,0.0,10,0,1,1951
213,fischer,0.0,11,0,1,1951
214,schell,0.0,12,0,1,1951
215,claes,0.0,13,0,1,1951
216,guy_mairesse,0.0,14,0,1,1951
217,whitehead,0.0,15,0,1,1951
218,louveau,0.0,16,0,1,1951
219,abecassis,0.0,17,0,1,1951
220,cabantous,0.0,18,0,1,1951
221,villoresi,0.0,19,0,1,1951
222,gonzalez,0.0,20,0,1,1951
223,hirt,0.0,21,0,1,1951
224,fangio,9.0,1,1,2,1951
225,wallard,9.0,2,1,2,1951
226,nazaruk,6.0,3,0,2,1951
227,taruffi,6.0,4,0,2,1951
228,farina,4.0,5,0,2,1951
229,linden,3.0,6,0,2,1951
230,sanesi,3.0,7,0,2,1951
231,mcgrath,2.0,8,0,2,1951
232,ball,2.0,9,0,2,1951
233,graffenried,2.0,10,0,2,1951
234,ayulo,2.0,11,0,2,1951
235,ascari,0.0,12,0,2,1951
236,banks,0.0,13,0,2,1951
237,chiron,0.0,14,0,2,1951
238,forberg,0.0,15,0,2,1951
239,darter,0.0,16,0,2,1951
240,moss,0.0,17,0,2,1951
241,rosier,0.0,18,0,2,1951
242,etancelin,0.0,19,0,2,1951
243,fischer,0.0,20,0,2,1951
244,schell,0.0,21,0,2,1951
245,claes,0.0,22,0,2,1951
246,guy_mairesse,0.0,23,0,2,1951
247,bettenhausen,0.0,24,0,2,1951
248,nalon,0.0,25,0,2,1951
249,force,0.0,26,0,2,1951
250,hanks,0.0,27,0,2,1951
251,schindler,0.0,28,0,2,1951
252,rose,0.0,29,0,2,1951
253,faulkner,0.0,30,0,2,1951
254,farina,12.0,1,1,3,1951
255,fangio,10.0,2,1,3,1951
256,wallard,9.0,3,1,3,1951
257,ascari,6.0,4,0,3,1951
258,taruffi,6.0,5,0,3,1951
259,nazaruk,6.0,6,0,3,1951
260,villoresi,4.0,7,0,3,1951
261,rosier,3.0,8,0,3,1951
262,sanesi,3.0,9,0,3,1951
263,linden,3.0,10,0,3,1951
264,mcgrath,2.0,11,0,3,1951
265,cabantous,2.0,12,0,3,1951
266,ball,2.0,13,0,3,1951
267,graffenried,2.0,14,0,3,1951
268,ayulo,2.0,15,0,3,1951
269,banks,0.0,16,0,3,1951
270,andre_pilette,0.0,17,0,3,1951
271,claes,0.0,18,0,3,1951
272,chiron,0.0,19,0,3,1951
273,forberg,0.0,20,0,3,1951
274,darter,0.0,21,0,3,1951
275,levegh,0.0,22,0,3,1951
276,moss,0.0,23,0,3,1951
277,etancelin,0.0,24,0,3,1951
278,fischer,0.0,25,0,3,1951
279,schell,0.0,26,0,3,1951
280,guy_mairesse,0.0,27,0,3,1951
281,bettenhausen,0.0,28,0,3,1951
282,nalon,0.0,29,0,3,1951
283,force,0.0,30,0,3,1951
284,fangio,15.0,1,2,4,1951
285,farina,14.0,2,1,4,1951
286,wallard,9.0,3,1,4,1951
287,ascari,9.0,4,0,4,1951
288,villoresi,8.0,5,0,4,1951
289,taruffi,6.0,6,0,4,1951
290,nazaruk,6.0,7,0,4,1951
291,fagioli,4.0,8,1,4,1951
292,gonzalez,3.0,9,0,4,1951
293,rosier,3.0,10,0,4,1951
294,sanesi,3.0,11,0,4,1951
295,linden,3.0,12,0,4,1951
296,reg_parnell,3.0,13,0,4,1951
297,mcgrath,2.0,14,0,4,1951
298,cabantous,2.0,15,0,4,1951
299,graffenried,2.0,16,0,4,1951
300,ball,2.0,17,0,4,1951
301,ayulo,2.0,18,0,4,1951
302,chiron,0.0,19,0,4,1951
303,banks,0.0,20,0,4,1951
304,andre_pilette,0.0,21,0,4,1951
305,claes,0.0,22,0,4,1951
306,forberg,0.0,23,0,4,1951
307,darter,0.0,24,0,4,1951
308,chaboud,0.0,25,0,4,1951
309,levegh,0.0,26,0,4,1951
310,moss,0.0,27,0,4,1951
311,guy_mairesse,0.0,28,0,4,1951
312,etancelin,0.0,29,0,4,1951
313,fischer,0.0,30,0,4,1951
314,fangio,21.0,1,2,5,1951
315,farina,15.0,2,1,5,1951
316,villoresi,12.0,3,0,5,1951
317,gonzalez,11.0,4,1,5,1951
318,wallard,9.0,5,1,5,1951
319,ascari,9.0,6,0,5,1951
320,taruffi,6.0,7,0,5,1951
321,nazaruk,6.0,8,0,5,1951
322,reg_parnell,5.0,9,0,5,1951
323,fagioli,4.0,10,1,5,1951
324,sanesi,3.0,11,0,5,1951
325,rosier,3.0,12,0,5,1951
326,bonetto,3.0,13,0,5,1951
327,linden,3.0,14,0,5,1951
328,mcgrath,2.0,15,0,5,1951
329,cabantous,2.0,16,0,5,1951
330,graffenried,2.0,17,0,5,1951
331,ball,2.0,18,0,5,1951
332,ayulo,2.0,19,0,5,1951
333,chiron,0.0,20,0,5,1951
334,banks,0.0,21,0,5,1951
335,andre_pilette,0.0,22,0,5,1951
336,claes,0.0,23,0,5,1951
337,forberg,0.0,24,0,5,1951
338,peter_walker,0.0,25,0,5,1951
339,darter,0.0,26,0,5,1951
340,chaboud,0.0,27,0,5,1951
341,levegh,0.0,28,0,5,1951
342,moss,0.0,29,0,5,1951
343,shawe_taylor,0.0,30,0,5,1951
344,fangio,27.0,1,2,6,1951
345,ascari,17.0,2,1,6,1951
346,gonzalez,15.0,3,1,6,1951
347,farina,15.0,4,1,6,1951
348,villoresi,15.0,5,0,6,1951
349,wallard,9.0,6,1,6,1951
350,taruffi,8.0,7,0,6,1951
351,nazaruk,6.0,8,0,6,1951
352,reg_parnell,5.0,9,0,6,1951
353,fagioli,4.0,10,1,6,1951
354,sanesi,3.0,11,0,6,1951
355,rosier,3.0,12,0,6,1951
356,bonetto,3.0,13,0,6,1951
357,linden,3.0,14,0,6,1951
358,mcgrath,2.0,15,0,6,1951
359,cabantous,2.0,16,0,6,1951
360,graffenried,2.0,17,0,6,1951
361,ball,2.0,18,0,6,1951
362,ayulo,2.0,19,0,6,1951
363,chiron,0.0,20,0,6,1951
364,fischer,0.0,21,0,6,1951
365,banks,0.0,22,0,6,1951
366,andre_pilette,0.0,23,0,6,1951
367,claes,0.0,24,0,6,1951
368,manzon,0.0,25,0,6,1951
369,forberg,0.0,26,0,6,1951
370,peter_walker,0.0,27,0,6,1951
371,levegh,0.0,28,0,6,1951
372,darter,0.0,29,0,6,1951
373,chaboud,0.0,30,0,6,1951
374,fangio,27.0,1,2,7,1951
375,ascari,25.0,2,2,7,1951
376,gonzalez,21.0,3,1,7,1951
377,farina,17.0,4,1,7,1951
378,villoresi,15.0,5,0,7,1951
379,taruffi,10.0,6,0,7,1951
380,wallard,9.0,7,1,7,1951
