Driver,Races
farina,14
fagioli,8
reg_parnell,1
fangio,15
taruffi,1
sanesi,5
graffenried,3
bonetto,4
pietsch,1
klerk,2
giacomelli,49
brambilla,5
depailler,8
cesaris,33
mario_andretti,15
baldi,15
cheever,32
patrese,32
raikkonen,38
giovinazzi,38
