Round,Quali Time Difference
1,0.049
2,-0.459
3,0.108
4,0.202
5,0.06
6,-1.311
7,-0.207
8,-0.28
9,-0.366
10,0.673
11,0.881
12,-0.122
13,-0.255
14,-4.481
15,0.319
16,0.586
17,-0.693
