Round,Quali Time Difference
1,0.126
2,-1.311
3,
4,0.243
5,1.348
6,0.056
7,-0.015
8,-0.008
9,-0.271
10,0.249
11,0.072
12,-0.075
13,0.194
14,10.514
15,0.17
16,-0.248
17,-0.279
