Round,Quali Time Difference
1,-0.012
2,1.428
3,0.107
4,0.313
5,-0.063
6,0.059
7,0.511
8,0.069
9,0.059
10,0.652
11,-0.256
12,0.102
13,-0.097
14,0.698
15,0.289
16,-0.026
17,-0.061
