Round,Quali Time Difference
1,-0.345
2,0.254
3,-0.061
4,-0.183
5,-0.305
6,0.04
7,0.219
8,0.125
9,-1.23
10,0.297
11,-0.251
12,0.005
13,-0.097
14,-0.465
15,
16,0.683
17,-0.318
