Round,Quali Time Difference
1,-0.283
2,-2.023
3,0.043
4,-0.912
5,-0.464
6,-0.081
7,-0.265
8,-0.878
9,-0.588
10,-0.37
11,-0.703
12,-0.829
13,-0.769
14,1.527
15,0.016
16,-0.562
17,-0.566
