Round,Quali Time Difference
1,-0.161
2,1.962
3,0.168
4,-9.357
5,15.966
6,-6.362
7,-10.117
8,15.728
9,-15.899
10,-2.826
11,-1.295
12,15.957
13,0.301
14,-23.836
15,
