Round,Quali Time Difference
1,-0.473
2,-3.804
3,11.491
4,0.096
5,-10.147
6,25.93
7,-23.175
8,-4.319
9,17.244
10,-7.129
11,-8.761
12,-2.59
13,56.97
14,-37.869
