Round,Quali Time Difference
1,0.391
2,0.522
3,0.866
4,1.22
5,0.493
6,0.737
7,0.486
8,0.295
9,0.445
10,1.141
11,0.485
12,0.533
13,0.396
14,2.393
15,0.596
16,0.593
17,0.325
