Round,Quali Time Difference
1,-0.59
2,-2.123
3,-0.846
4,-0.613
5,-0.975
6,-0.433
7,-0.67
8,-0.13
9,-0.088
10,-1.483
11,-0.248
12,-0.989
13,-0.664
14,-11.594
15,1.036
16,43.249
