Race Result
6
20
5
19
14
19
8
17
11
18
11
13
13
14
13
16
7
11
16
20
13
14
11
13
12
13
11
13
11
22
19
21
11
20
10
21
19
20
17
22
11
12
15
20
8
11
8
19
13
19
10
14
8
10
10
12
7
13
6
18
12
13
13
19
7
15
11
15
9
13
12
13
8
9
14
16
8
15
15
20
11
13
16
17
5
13
10
17
13
15
6
18
13
15
12
13
6
11
4
5
9
16
6
11
7
10
7
8
16
20
15
18
8
11
8
20
17
20
15
16
8
9
9
10
6
18
13
20
11
13
13
18
7
10
10
14
14
17
17
20
16
19
19
20
7
8
13
20
12
13
16
18
11
17
9
20
13
15
15
17
15
18
11
13
14
15
16
17
12
13
10
16
16
19
16
20
15
19
15
17
12
19
12
16
12
17
9
13
16
17
14
18
17
18
17
20
15
17
18
19
